id;ocena;autorytet;natezenie
1;t;j;39
2;t;j;50
3;n;j;22
4;n;j;40
5;t;j;48
6;t;j;22
7;t;j;43
8;n;j;38
9;t;j;30
10;n;j;13
11;t;j;59
12;t;j;35
13;t;j;40
14;t;j;43
15;n;j;10
16;t;j;42
17;t;j;24
18;t;j;35
19;n;j;45
20;t;j;35
21;t;j;34
22;t;j;22
23;n;j;44
24;n;j;39
25;t;j;37
26;t;j;42
27;t;j;37
28;t;j;40
29;t;j;45
30;t;j;34
31;t;b;47
32;t;b;35
33;t;b;50
34;t;b;39
35;t;b;32
36;t;b;53
37;n;b;38
38;t;b;29
39;t;b;27
40;t;b;48
41;n;b;25
42;t;b;39
43;n;b;35
44;n;b;37
45;t;b;54
46;n;b;36
47;t;b;28
48;n;b;25
49;n;b;49
50;t;b;26
51;n;b;29
52;n;b;48
53;t;b;30
54;t;b;37
55;n;b;23
56;n;b;10
57;n;b;17
58;n;b;30
59;n;b;10
60;n;b;31